state,metric,units,year,value
Alabama,num_farms,number,2020,39000
Alabama,num_farms,number,2021,38500
Alabama,land_in_farms,"1,000 acres",2020,8300
Alabama,land_in_farms,"1,000 acres",2021,8200
Alabama,avg_farm_size,acres,2020,213
Alabama,avg_farm_size,acres,2021,213
Alaska,num_farms,number,2020,1050
Alaska,num_farms,number,2021,1050
Alaska,land_in_farms,"1,000 acres",2020,850
Alaska,land_in_farms,"1,000 acres",2021,850
Alaska,avg_farm_size,acres,2020,810
Alaska,avg_farm_size,acres,2021,810
Arizona,num_farms,number,2020,19000
Arizona,num_farms,number,2021,19000
Arizona,land_in_farms,"1,000 acres",2020,26200
Arizona,land_in_farms,"1,000 acres",2021,26200
Arizona,avg_farm_size,acres,2020,1379
Arizona,avg_farm_size,acres,2021,1379
Arkansas,num_farms,number,2020,42200
Arkansas,num_farms,number,2021,42000
Arkansas,land_in_farms,"1,000 acres",2020,14000
Arkansas,land_in_farms,"1,000 acres",2021,14000
Arkansas,avg_farm_size,acres,2020,332
Arkansas,avg_farm_size,acres,2021,333
California,num_farms,number,2020,69600
California,num_farms,number,2021,69000
California,land_in_farms,"1,000 acres",2020,24300
California,land_in_farms,"1,000 acres",2021,24200
California,avg_farm_size,acres,2020,349
California,avg_farm_size,acres,2021,351
Colorado,num_farms,number,2020,38800
Colorado,num_farms,number,2021,39000
Colorado,land_in_farms,"1,000 acres",2020,31800
Colorado,land_in_farms,"1,000 acres",2021,31800
Colorado,avg_farm_size,acres,2020,820
Colorado,avg_farm_size,acres,2021,815
Connecticut,num_farms,number,2020,5500
Connecticut,num_farms,number,2021,5500
Connecticut,land_in_farms,"1,000 acres",2020,380
Connecticut,land_in_farms,"1,000 acres",2021,380
Connecticut,avg_farm_size,acres,2020,69
Connecticut,avg_farm_size,acres,2021,69
Delaware,num_farms,number,2020,2300
Delaware,num_farms,number,2021,2300
Delaware,land_in_farms,"1,000 acres",2020,530
Delaware,land_in_farms,"1,000 acres",2021,530
Delaware,avg_farm_size,acres,2020,230
Delaware,avg_farm_size,acres,2021,230
Florida,num_farms,number,2020,47500
Florida,num_farms,number,2021,47500
Florida,land_in_farms,"1,000 acres",2020,9700
Florida,land_in_farms,"1,000 acres",2021,9700
Florida,avg_farm_size,acres,2020,204
Florida,avg_farm_size,acres,2021,204
Georgia,num_farms,number,2020,41400
Georgia,num_farms,number,2021,41300
Georgia,land_in_farms,"1,000 acres",2020,10200
Georgia,land_in_farms,"1,000 acres",2021,10200
Georgia,avg_farm_size,acres,2020,246
Georgia,avg_farm_size,acres,2021,247
Hawaii,num_farms,number,2020,7300
Hawaii,num_farms,number,2021,7300
Hawaii,land_in_farms,"1,000 acres",2020,1100
Hawaii,land_in_farms,"1,000 acres",2021,1100
Hawaii,avg_farm_size,acres,2020,151
Hawaii,avg_farm_size,acres,2021,151
Idaho,num_farms,number,2020,24600
Idaho,num_farms,number,2021,24600
Idaho,land_in_farms,"1,000 acres",2020,11500
Idaho,land_in_farms,"1,000 acres",2021,11500
